	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:56:18 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   404998   852702  1638743  2662899  1933893  1279447  1188789   1679761   2067979  1460430  1210227  1780008  2278628
              64       8   520419  1734015  3057153  3203069  2801873  1828508  2052169   2203800   2923952  1879725  1879725  3203069  3406295
              64      16   532815  3057153  5283570  3958892  5389653  3363612  4018152   3958892   5389653  3057153  3738358  5735102  5735102
              64      32   866463  2467108  5283570  4274062  5860307  1768283  4274062   4018152   6421025  2358717  5389653  5735102  7100397
              64      64   916769  3203069  4274062  7100397  7100397  1780008  4018152   3588436   6421025  3791156  3738358  7100397  7100397
             128       4   814915  3297617  5325799  6114306  4557257  3199360  3199360   2621367   4267461  2367096  3036502  5122535  5379161
             128       8  1319723  4012317  6406138  5847904  6406138  4104338  4596273   5122535   6727225  3895854  4012317  6406138  7582312
             128      16  1346196  2621367  7082197  6045455  7176872  4759253  5603747   5545860   7582312  4717434  4557257  7082197  8548124
             128      32  1220700  4135958  7476717  5074121  8414153  4934216  4012317   3867787  10567140  4135958  6727225  9977956 12542043
             128      64  1755594  5122535  9129573 11470204 12542043  7082197  9129573   7476717  10779307  4934216  8548124  9129573 11470204
             128     128  1684006  3277486  8036304 14200794 11720614  7082197  9795896   7582312  12542043  7082197  6727225 10779307 14200794
             256       4  1479379  3316006  6936061  7735574  5810112  4197489  4117018   5117791   5540300  4404088  3465855  6554972  8024634
             256       8  1610276  4652146  8534922  7073132  8024634  5320671  5810112   6719046   8024634  5142301  3950402  8271916  9778562
             256      16  1826695  4572895  8271916  5687020  8815202  5841722  6398720   7073132   9518507  4264168  5320671  7965107  9868433
             256      32  1842366  5347168  9518507  4819184  9868433  4819184  7518900   8024634  10651598  6249745  5938650  9778562 12228612
             256      64  1924938  4332998  8024634  3197509  4132864  2392442  9434868   9192546  12812277  7571923  7314033 11207494 12812277
             256     128  1884399  5687020  3275543  3667079  4350555  2441400 10245071   7791708  11091721  4929815  9114515 10245071 12090911
             256     256  1790149  4929815  7735574 12812277 12090911  5347168  8534922   7314033  11091721  7073132  2486631 11091721 13454450
             512       4  1391032  4195896  7115451  6571132  5566231  3678421  4204110   5019764   5453155  4195896  3849877  6319739  6246213
             512       8  1795846  4131319  8562340  7211022  7758090  5019764  4237291   6491676   6821616  4610256  4610256  5951911  6652558
             512      16  1705969  4305250  8394979  6736026  8992598  5278892  6736026   7115451   8018812  5331314  5067142  8992598 10235583
             512      32  1917728  4690818  9638369  7647578 10235583  6319739  8992598   7988981  11138071  5453155  5684095 10044089 10694336
             512      64  1854787  5509113  6571132  4916336  7513788  4375425  6736026   5822804   7988981  4228947  4375425  7334159  7988981
             512     128  1191189  5699180  8394979  7620440 11620224  6156675  9681823   8394979  11877300  6652558  6035551  3437042  3934520
             512     256   588544  2073249  3304808  2497638  4131319  2402629  3941742   2782414   4340054  1770674  3795443  4030519  7211022
             512     512  1137555  3604335  4827914  7647578  7513788  3934520  6736026   4305250   7309196  4131319  3877684  6571132  6909408
            1024       4  1011817  3553066  6317933  6519323  5479632  3821805  4162573   4356809   5277632  3951918  3894582  6479979  6650556
            1024       8  1790460  4832290  8326715  6787181  7577494  4300102  6016997   6519323   7472033  4589593  4570058  8199542  8474583
            1024      16  1942715  4634161  9045736  6830356  8262639  5424269  7590887   7160597   8750850  5169641  5120336  9142007  9142007
            1024      32  2011877  5144870  9855234  7208671  9946527  5958564  9064828   7537599  10039528  5564829  5417427 10039528 10134284
            1024      64  1999700  5593820 10134284  7699755 10134284  6280976 10557785   9064828  13472053  6599461  6692005 11278631 10769573
            1024     128  2011877  5652717 10039528  7941793 10990032  6102490 10329265   8542002  12037272  6172653  6137371 10769573  9569770
            1024     256  2065081  4949226  9142007  7941793 10906310  6489770 10769573   8457895  10662628  6355328  6355328  4126579 11018226
            1024     512  1946237  5251818  8122014  8610501 10454984  6172653  9946527   6787181  10230845  4396951  8750850 10230845 10454984
            1024    1024  1762539  4920874  6559147  9220512  9485232  5623115  8768716   5782087   9220512  5789881  5720477  8822754  9569770
            2048       4  1563282  3643190  6420913  6563185  5020987  3784436  4164199   5006356   5444228  3848872  3792790  6378005  6359119
            2048       8  1896314  4676561  8678404  6608629  7368238  4730646  6207471   7336772   8190205  4601407  4500161  8029434  8006980
            2048      16  1899669  1905146  3065856  2506688  3043048  1982533  3240499   3089009   3736694  2155672  2214011  8128206  8253158
            2048      32  1821906  4842658  8793903  6608629  8229438  5389574  8097557   6780783   9653719  5489457  5489457  9898453  9752360
            2048      64  1972971  5336007  9349021  7477273  9525260  6097316  9308497   8498106  10673302  5704543  5888333 10143926 11502234
            2048     128  1968901  5068389 10179991  7589584 10555264  6303124  9841749   8749118  12561952  5640860  5953632 10555264 10834854
            2048     256  1935626  5319484  9567698  7761014 10834854  5937172 10401883   8634786  11983630  5629769  5816563  9359208 11564174
            2048     512  1923059  4971585  8793903  7616502  9990553  6058611  9752360   6823876  11246230  6202989  6132138  9697312 10037248
            2048    1024  1959916  5131978  7286980  7643611  8903279  5626082  8749118   6280083   8830061  4265523  7789164  8284999  8940345
            2048    2048  1799389  4441984  6020395  8749118  8903279  5507054  7393606   2188069   3644736  2190300  2204918  6024617  6284678
            4096       4  1031216  3204717  5728903  6068897  5101205  3689988  4075109   4871226   5170290  3882626  3757786  6077484  5926533
            4096       8  1752009  4266376  7615846  6401308  7222056  4713521  5961494   6420447   7380284  4835578  4586428  8127459  7983931
            4096      16  1919365  4928521  8883968  6605595  8272256  5402804  7367624   7197849   8426437  4958393  5026578  9353122  9989424
            4096      32  1937548  5095153  9550708  7085049  9524234  5885924  8806550   8162211   9163546  5753847  5190597 10012712 10041975
            4096      64  1994225  5345646 10112910  7149920 10018551  6030551  9960466   9247398  11447097  5826043  5657217  9920205 10502389
            4096     128  1943247  5257310  9795765  7099689 10554004  6198078 10394367   8944095  10239486  5640500  5504946 10502389 10813071
            4096     256  1977696  5340661  9419791  7405736 10586522  6321227 10419583   8883968  12264277  5454263  4982841  9966244  9795765
            4096     512  1914019  4457897  8480511  6358661  9292414  5504946  9701724   7421732  10638969  5159420  5332372  9729195  8902382
            4096    1024  1929497  4899008  7802627  6793669  8920873  5618365  8193352   6608135   3699523  2168407  3009890  4965558  5171846
            4096    2048  1246923  4708354  6669706  7222056  8695120  5332372  8625273   6351609   8552280  3834958  6908408  8272256  8603675
            4096    4096  1821096  4390677  5910222  8712759  8625273  5777065  8514134   5512011   8276241  5334028  5440445  7816828  8393502
            8192       4  1542399  3380930  5392464  5685116  4824582  3582197  3618412   5050818   4970447  3951754  3616507  6108608  5966469
            8192       8  1747803  4242044  6568727  5406890  6715075  4458941  5278151   6543707   6748045  4368796  4566802  7293813  7809376
            8192      16  1841771  4847041  7870194  6477096  8183217  5210911  7301563   7607087   6182248  4929091  4589372  8086916  8603257
            8192      32  1770864  4678100  8614041  6538726  8885819  5633847  8342160   8150218   8688097  5195153  5091232  8962305  9954134
            8192      64  1861024  4721167  8325988  6569983  9163071  5830794  9011667   9560822  10328147  5364680  5291970  9352628  9547539
            8192     128  1986938  5129233  9133841  6798785  9684785  6032463 10115308   8892719  10582628  5641246  5403489  8941315  9505279
            8192     256  1934364  5088216  8688097  6966969 11070196  6345516 10995799   9905351  11423523  5231540  5250727  9857043 11041736
            8192     512  2016794  5011041  8384911  6466126  8913481  5740202  8191020   7735533  10651521  4548665  4790946  8275854  8659632
            8192    1024  1885431  4830007  7173514  6032463  7992856  5218033  7281448   6409435   8741143  4282224  4604748  7172016  7261443
            8192    2048  1860520  4699856  6548696  5914094  7537004  4992112  7320230   6321001   8741143  4833405  5268439  7354701  7541967
            8192    4096  1840883  4553488  6158977  6650092  7487730  5244315  7191531   5630154   8216483  3829746  5817959  3171529  3439135
            8192    8192  1464434  4452008  5079190  7276821  7217210  4699856  6872214   4673646   6301295  4861443  4850463  6730861  6983962
           16384       4  1540146  3693442  5241038  5329650  4218298  3274257  3595279   5166953   4433856  3444791  3596032  5128010  5184886
           16384       8  1675234  4297974  6222445  5400009  5661606  4029332  4876209   6556072   5670950  3837832  3862422  6646751  6576778
           16384      16  1792987  4545899  6527426  5498083  5891685  4204361  6008099   7275131   6501489  4220629  4396131  6910087  7010899
           16384      32  1842552  5237842  7386962  5645791  7070773  4460622  6445388   7884466   6942198  4493875  4449646  7443774  7645856
           16384      64  1850291  4867574  7526113  5770960  7481050  4933268  7337273   8410367   7268974  4476312  4598525  6118292  7070773
           16384     128  1807607  5028939  7343546  5718614  7397299  5131073  7783552   8718747   8007577  4855880  4987693  7865515  7976903
           16384     256  1844877  4775234  7304517  5758869  7656078  5267957  7703281   9072110   7820757  4192562  4358767  7602716  7787080
           16384     512  1820634  4740645  6852892  5310703  7105134  4782213  7255927   7474540   7116907  4139526  4204361  3436866  3547030
