	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:51:41 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       4  1353512  3831537  6291135  6638778  5292944  3751222  4235870   5013377   5360658  3950479  3846119  6321227  6068897
            4096       8  1737129  4628439  8142867  6693092  7314299  4696769  5996870   6585338   7473388  4541567  4471821  8308260  8276241
            4096      16  1813981  4853336  9105266  6930704  8443002  5319164  7545601   7212959   8569343  5332372  5025108  9081201 10065509
            4096      32  1913167  5204750  3433360  2584291  3477139  2033889  4904602   5794602   7050159  3764373  3387995  6861502 10136778
            4096      64  1921082  6103394  9795765  7542289  9756822  6149271  9287391   8677553  10400659  5611025  5625724 11281721  9943171
            4096     128  1916795  6032669  9105266  7161842 10612681  6321227 10065509   8625273   9995236  5404504  5726993 10239486 10476771
            4096     256  1891888  2416362  9891647  7108502 10612681  5996870  9874590   7939654  12264277  5587302  5565581 10344298 10270092
            4096     512  1761711  4676314  7906767  6826060  9636422  5664678  9042961   7683972  10586522  5184332  5468151  9042961  9891647
            4096    1024   655249  4079948  5572803  5347310  6941906  4249491  6839648   6545196   8920873  5204750  5704175  8548024  8127459
            4096    2048  1808253  2061467  2874423  2935823  3730046  2590526  7499487   5319164   8142867  3096138  7123239  8292220  7983931
            4096    4096  1526040  4452120  6068897  8586475  8569343  5211065  8463799   5447345   8603675  5565581  5594580  8476327  8047509
