	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 18:01:38 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1183548  1722886  1768283  7100397  4564786  3738358  1204796   1828508   2133730  1492919  1484662  2358717  2561267
              64       8   511494  1460430  2801873  3057153  2892445  1828508  2133730   2203800   3203069  1991276  2006158  3022727  3541098
              64      16   555990  1638743  3203069  2662899  3541098  2133730  2561267   2561267   3363612  2133730  4564786  6421025  7940539
              64      32  1049372  3541098  7100397  5735102  7100397  1991276  5283570   5389653   6421025  3791156  5735102  7100397  9318832
              64      64  1232453  3738358  5735102 10821524 12902017  7100397  9318832   7100397  10821524  5283570  5860307 10821524 12902017
             128       4  1254941  3785961  6727225  6727225  6114306  4267461  4012317   5325799   5325799  2098744  4012317  6727225  7082197
             128       8  1440082  3359523  7176872  7082197  7476717  5122535  5122535   6045455   9129573  4407601  3560017  7082197  9977956
             128      16  1684006  3277486  9795896  8548124  9129573  6045455  7176872   8036304  11720614  6406138  6406138 10567140 12842051
             128      32  1911894  5603747 10779307  9129573 11720614  7476717  9795896   9129573  11470204  4407601  8036304 11720614 14200794
             128      64  1939522  6114306  9795896 14200794 12842051  7917784  4444086   8036304  11470204  4934216  9129573  9795896 11720614
             128     128  1684006  3468030  7917784 12842051 11720614  7082197 10567140   7917784  10567140  7082197  6406138 10567140 14200794
             256       4  1471270  3410808  6554972  7518900  6595234  4477549  4652146   5810112   6107548  4652146  4422226  4734192  7120034
             256       8  1495866  4197489  7120034  6398720  7518900  5022044  5117791   6554972   7073132  4929815  4117018  8208677  9518507
             256      16  1790149  5117791  9434868  7791708  9868433  6107548  3326279   5022044   6719046  3159869  3935921  6719046  7314033
             256      32  1319408  4009406  7314033  5569035  7791708  3717869  6107548   5455847   7735574  4264168  4422226  7518900  8534922
             256      64  1347557  3454704  6891544  6554972  7965107  4907284  6761355   5971678   7735574  4477549  5022044  7518900  8815202
             256     128  1829808  5117791  8271916 10245071 10148242  6761355  7791708   7791708  10245071  4264168  8534922  9114515 12090911
             256     256  1683493  5117791  7735574 13454450 10245071  4070199  9518507   7314033  10245071  6249745  5938650 10245071 12812277
             512       4  1488408  3736016  6571132  7513788  5886650  3325278  4000485   4973263   5453155  4091959  3659616  6395018  6909408
             512       8   560875  1652157  3158966  2575520  2047551  1227971  2160868   2304647   3196584  2081286  2198475  3993047  4305250
             512      16   884172  2638816  4340054  3437042  4237291  1985091  3393590   3325278   4163357  2535981  2416145  4420457  4610256
             512      32  1264113  4195896  8234036  6571132  8992598  5453155  7211022   6821616   9468384  4571003  4742616  7115451  7871843
             512      64  1620980  4827914  8394979  7115451  9468384  5227492  8140399   7022379   9859630  5331314  5439343  9304292  9997331
             512     128  1882427  5744919  6821616  8562340 11620224  6246213  9638369   8394979  11943357  6821616  6999490 10434519 12146009
             512     256  1970519  4660280  8665997  9510316 11877300  6999490 10641343   8018812  11374040  4660280  9304292 10044089 12146009
             512     512  1747618  5624545  7211022 11374040 11374040  6035551  9681823   6632013  11138071  6156675  5509113  9304292 10235583
            1024       4  1592612  3891053  6529233  6692005  5383475  3764854  4493556   5593820   6093831  4396951  4044965  7160597  7160597
            1024       8  1835608  4832290  8542002  6918376  7644933  4826859  5853003   6650556   7524394  4720752  4550690  8199542  8326715
            1024      16  1946237  3791442  8750850  6874084  8822754  5417427  7160597   7257394   9569770  5652717  5120336  9064828  8183918
            1024      32  1977602  5251818 10230845  7369466  9946527  5958564  8895850   7869040   9946527  5536137  5303701  9220512 10230845
            1024      64  1969440  5479632  9946527  7699755 10769573  6244448  9743447   8122014  12037272  5917516  6025439 10906310 11132462
            1024     128  1928757  5564829  9855234  7811791 11018226  6479979 10354166   8610501  12348754  6093831  6327241 10662628 12313351
            1024     256  1988589  5479632  9240349  8137402 11018226  6519323 10769573   8457895  11741116  6244448  6918376 11132462 11368190
            1024     512  1878973  5226256  3103735  2827858  3999762  2281152  3880507   2694787   4130547  1803239  3955557  6519323  6692005
            1024    1024  1164956  3281592  4321737  6163794  6364746  3709575  5950309   4679604   8988941  5660167  5564829  8310603  9142007
            2048       4  1602657  3696494  6261772  6401772  5447681  3664951  4240255   5119743   5406535  3991965  3850597  6207471  6340344
            2048       8  1825390  4376355  8029434  6732948  7451329  4717655  5884299   6629029   7393606  4472047  4376355  7940367  7999524
            2048      16  1750616  4720248  8678404  7042051  7882079  5349298  7189398   6917293   8678404  4772701  4697018  8830061  9140117
            2048      32  1877250  5156624  8866519  6895083  9621281  5582208  8903279   7477273   9898453  5212953  5444228 10192069  9024882
            2048      64  1039087  5626082  9308497  2612664  4948672  4146110  7036283   5475461   7616502  4130162  4358590  8067138  8365686
            2048     128  1516904  5359311  9708272  7726111 10037248  6041567 10452512   8498106  13301113  5685664  5816563 10555264 11072275
            2048     256  1947033  5107566 10192069  7940367 10143926  6280083 10555264   8198022  12398764  4540600  4172290  9525260 10660056
            2048     512  1790388  5430461  9664580  6670210  9944290  5689430 10503637   8431376  11966935  6359119  6340344  9944290 10143926
            2048    1024  1988500  4730646  7496851  7589584  9015410  5719737  8903279   6359119   8713618  4621211  7451329  9062970  9400176
            2048    2048  1821906  4483719  6401772  9101380  8749118  5535444  8097557   5852228   8390200  5655716  5644567  8820994  9268323
            4096       4  1502024  3596518  6672297  6490793  5057654  3640724  4644707   4939858   5424983  4315676  3751222  6872481  6439700
            4096       8   642098  2122332  6651630  5325760  6049663  3927001  5013377   5404504   7339297  4461370  4536770  8158335  8108279
            4096      16  1858326  4982841  8569343  6758923  7831080  5258919  7173805   7225093   8360824  5025108  4842392  9019223  9144037
            4096      32  1968406  5125556  9207748  7123239  9456085  5759634  8356757   8112108   9524234  5369035  5306022  9801354  9995236
            4096      64  2075915  5244471 10112910  7421732 10215133  6169144 10586522   8531046   9456085  5620203  4418911 10502389  9914481
            4096     128  2005867  5345646 10166771  7555557 10560492  6953144 10369272   9707206  11874344  6321227  6368089 10923071 10895362
            4096     256  1976786  5520868 10294709  7542289 10665388  6339889 10638969   8925508  12794009  5504946  5777065 10160758 10978915
            4096     512  1955189  2094134  3497668  3540193  4887857  2848685  4928521   3730856  10718622  5119446  5558378  9989424 10041975
            4096    1024  1928414  5332372  7770863  6839648  8865630  5526195  8730470   6575257   8847367  4876757  5192166  7542289  7954358
            4096    2048  1873730  4471821  6659365  7146945  7529067  5544029  8586475   5681538   8734909  3908241  7126194  7542289  8093001
            4096    4096  1721808  4072211  5375755  8569343  8112108  5204750  7983931   5345646   8463799  5519094  5497899  8569343  8717180
            8192       4  1553909  3787112  5732541  5842692  4929091  3644124  3878597   5062726   5110922  3730372  3375284  5897851  6085887
            8192       8  1723864  4235769  7179509  6305921  6931830  4503356  5745001   6307078   6596471  4277959  3440513  7598676  7635827
            8192      16  1824074  4749227  8032094  6173362  7749491  4827293  6872214   6947247   7550253  4471708  1735269  3104195  4929091
            8192      32  1672185  4732221  8047143  6201216  8167655  5247519  7985426   8000301   8952964  4997921  4862131  8411596  8631352
            8192      64  1906035  5214074  8086916  6687628 10151170  6036702  9234488   8614041   9882559  5385702  5264403  9373038  9908207
            8192     128  1913146  5254742  7930135  6173362  9192489  6112956  9786852   8779111   9761828  5495091  5534924 10003400 10226704
            8192     256  1950395  5457560 10100441  7359427  9859872  6512699 10088578   8962305  10088578  5339669  5657036 10792033 11507694
            8192     512  1957953  5357988  8551866  6788039  9279379  5806161  8974009   7875605  10530733  4929091  4937591  8885819  9276873
            8192    1024  1949067  4899570  2945842  2610564  4740709  3316639  5439416   6692839   9153307  4636437  4905166  7635827  7877411
            8192    2048  1851298  4362141  6632122  6014511  7922821  5088216  7413415   5264403   7692239  4513413  5237920  7013901  7097937
            8192    4096  1829805  4435342  6182248  6356080  7685357  5075439  7765253   5721087   8323971  3820802  5838720  6049456  6575012
            8192    8192  1705214  4211884  4673646  6334986  6331484  4643957  5340499   4141321   5902917  4399563  4395061  6059057  6698058
           16384       4  1582530  3604898  5268360  5383933  4483613  3239222  3649699   5150301   4495051  3409921  3410598  5261503  5269977
           16384       8  1615301  3942189  6068049  5251451  5412343  3937445  4838784   6767854   5691145  3893497  3965163  6624965  6152804
           16384      16  1768941  4272322  6289648  5116937  6104162  4241208  5914504   7034583   6152253  4152032  4191283  6673863  6714292
           16384      32  1766485  2546787  5693031  4371522  5531274  4760019  6947813   8375515   7634813  4567654  4608703  7617042  7988030
           16384      64  1877386  4967862  7288248  5832677  7521994  5142208  7364006   8364301   7516235  4604997  4761338  7728405  8035668
           16384     128  1855487  4920199  7236824  5649969  7403675  5147215  7556734   9235488   7512126  4629505  4848685  7508023  7898966
           16384     256  1864802  4952824  7539324  5876570  7443774  4995307  7758070   8919040   6857679  4192306  4221667  7390140  7451038
           16384     512  1817648  4313622  6548575  5305783  6826343  4794893  6904533   7393320   7067864  4106134  4127839  6632638  6927502
           16384    1024  1830186  4524648  5999183  5083250  6384903  4493875  6579926   6798654   9367679  3924404  4156049  6409917  6745267
           16384    2048  1841910  4366799  6201667  5307422  6690106  4677401  6806735   6501489   9454025  3922388  4288051  6380161  6577407
           16384    4096  1782430  4289121  5755011  5214393  6333122  4501234  6600783   5738671   8678010  4144519  4436432  6392625  6614761
           16384    8192  1789019  4319587  5295561  5586129  6473317  4412503  5256271   4725649   6574261  3631185  4658377  5318101  5689260
           16384   16384  1710937  3728916  4142521  5149144  5227483  3540086  4300125   3203734   4957469  3735605  3877022  5265131  5323045
           32768      64  1804304  4653929  7203372  5674182  7216232  4681034  7159097   8641347   7454192  4414460  4450915  7668811  7740943
           32768     128  1835117  4702657  7381727  5781108  7433630  4811141  7553746   8705386   7494841  4453367  4595113  7848808  7899786
           32768     256  1850461  4714756  7524384  5596548  7257385  4514068  7150158   8875156   7328980  4218273  4337282  7680811  7775981
           32768     512  1828866  4589895  3669461  5090556  6668296  4484463  6945287   7805569   6931976  3806244  3802769  6869610  6919064
           32768    1024  1815195  4163075  6074970  5018070  6230853  4262756  6376255   6270080   6300260  3705572  3515889  5592677  6203852
           32768    2048  1811677  4309808  6258089  5094519  6356497  4309808  6565406   6735286   9683705  3681748  3819466  6331898  6106550
           32768    4096  1659393  4243933  5972021  5151422  5980597  4155271  6009099   6194346   8926458  3498170  2182062  6071481  6245293
           32768    8192  1766958  4199455  5418063  5152195  6167660  3343297  5316004   5095463   7244761  2309052  3698790  5740782  6221545
           32768   16384  1693770  3701679  4522832  4661032  5055354  3656282  5124914   4084876   5466768  3109844  3943185  4758669  4957255
           65536      64  1404065  4624630  7472796  5756387  7166339  4617483  7057415   8555497   7309259  4231637  2743927  7504419  7431180
           65536     128  1825972  4700631  7608064  5966552  7438016  4628212  7352073   8800371   7418745  4251140  4345634  7494189  7348732
           65536     256  1830361  4541949  7355418  5638081  7325817  4597404  7299554   9015699   7609117  4157836  4294376  7786290  7641906
           65536     512  1804409  3097466  6662284  5292851  6599106  4372594  6680581   7929138   6604497  3724693  3890049  6889031  6934390
           65536    1024  1793542  4154694  6228002  5024289  6282807  4162621  6295470   6963905   6399980  3657781  3685737  6306447  6383186
           65536    2048  1800933  4010544  6193202  5057197  5940505  3802496  4150992   6940869   6471551  3669451  3693215  6158237  6438355
           65536    4096  1795850  4255352  6330120  5126424  6394917  4107264  6306447   6463182   9127666  3602461  3594782  6192644  6317463
           65536    8192  1755019  4020869  5402707  5032384  6151209  4081467  6058608   5262653   7451526  3378505  3354795  5800114  6204946
           65536   16384  1689240  3470119  4531616  4435316  5179065  3784695  4984837   4293772   5280040  3240995  3195778  4833714  5180334
          131072      64  1703450  4485685  7191915  5618421  6574311  4203160  6869560   8478808   6879273  4102263  4096241  7264425  7350776
          131072     128  1789209  4578139  7394378  5799674  7067014  4427950  7120008   8778423   7220441  4217380  4236457  7509114  7535876
          131072     256  1792704  4607723  7390601  5713184  7166321  4459125  7369400   9033893   7311379  4045302  3986372  7584742  7568140
          131072     512  1790013  4304794  6555184  5130051  6442792  4246208  6557530   8496761   6594500  3731159  3765894  5886111  6661219
          131072    1024  1782179  4181867  6035714  4907403  6014386  4081583  6128020   7094190   6096962  3554958  3578747  6283727  6346987
          131072    2048  1792535  4080432  6134859  4961076  6123993  4128510  6228200   7021612   6215174  3553717  3577583  6149888  6334774
          131072    4096  1826098  4084524  6088117  5027313  6115409  4052548  6115137   6636612   6267180  3437589  3371001  6108275  6176559
          131072    8192  1712892  3979965  5632178  5061098  6079970  4045302  5835317   5604445   7586102  3242673  3061856  5872656  6146931
          131072   16384  1661200  3451444  4583559  4282561  5185651  3744808  5021939   4275300   5525583  2825915  2892221  4810359  5060120
          262144      64  1622239  4199738  7434366  5685203  6866205  3961193  6984360   8394833   7085769  3897183  3446952  7510848  7466170
          262144     128  1645973  4089672  7509771  5785843  7193082  3922907  7344187   9025128   7383543  3894464  3840326  7660083  7607665
          262144     256  1704701  4265214  7529003  5746502  7360953  4174798  7527251   9071293   7527714  3834019  3786030  7646021  7636462
          262144     512  1635937  3592590  6746223  5259819  6606617  3932785  5809014   8254727   6743409  3500851  3431921  6755258  6857726
          262144    1024  1660442  3732918  6195625  5058532  6252845  3701077  6272893   6989199   6285840  3320966  3317359  6261355  6367048
          262144    2048  1641158  3815221  6279378  5019047  6217697  3804317  6310045   6906314   6330754  3327761  3361343  6353141  6359940
          262144    4096  1611398  3760816  6265673  5061303  6263924  3778652  6326929   6913436   6349619  3164920  3262289  6233808  6316389
          262144    8192  1599990  3799952  5806989  4939675  6139202  3784101  6104165   5695924   6189486  2990942  2941036  5359502  6054685
          262144   16384  1518092  3308684  4804595  4464680  5103449  3391170  4958365   4397064   5621920  2674580  2583130  4815812  5116582
          524288      64  1457302  3877350  7603767  5790929  6845297  3688115  7145118   8549597   7266740  3680220  3658241  7844862  7442841
          524288     128  1579023  3911107  7524567  5866943  7220404  3717776  7465709   8908886   7649047  3722206  3635561  7840527  7951836
          524288     256  1564660  4014641  7754594  5701636  7527890  3848039  7726720   9030273   7772410  3663074  3610325  7775186  7564168
          524288     512  1544867  3764517  6917172  5389250  6721741  3678694  6901238   8220776   6876012  3398795  3370518  6991173  7061305
          524288    1024  1534970  3674133  6321070  4742587  6332355  3621223  6449679   7073024   6411748  3338161  3307643  6276722  6348626
          524288    2048  1539410  3643416  6334343  5084390  6292617  3503823  6372229   6829862   6385422  3172599  3217732  6406499  6425725
          524288    4096  1508989  3538804  6394520  5084249  6320379  3513362  6052949   6644963   6439461  3102149  3103949  6440498  6402899
          524288    8192  1505233  3638996  6130077  4989606  6168683  3604815  6198660   5712686   6229584  2826930  2832534  6170275  6290727
          524288   16384  1282736  3170778  5077252  4597410  5533737  3301644  5346560   4547478   5510993  2451250  2451591  5227718  5693399

iozone test complete.
