	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:55:20 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   453587  1562436  1638743  2801873  1392258  1392258  1363961   1780008   2052169  1484662  1562436  2379626  2662899
              64       8   511494  1780008  3057153  2801873  2923952  2203800  2444640   2662899   3588436  2278628  2278628  3791156  4274062
              64      16   647135  1599680  3791156  3057153  3791156  2379626  2801873   2923952   4018152  2278628  1336792  4018152  4564786
              64      32   620221  2467108  4274062  3541098  4564786  2662899  3541098   3057153   3958892  2203800  3791156  4564786  5860307
              64      64   679917  2561267  3203069  5735102  5283570  2772930  3791156   2892445   4897948  2923952  2561267 10821524 12902017
             128       4  1220700  2511022  6114306  6727225  5122535  3536566  3445772   4407601   4407601  3759450  3657016  5545860  6406138
             128       8  1406136  4012317  7476717  6812590  7476717  2409592  4267461   5603747   7582312  4407601  2784517  7476717  9129573
             128      16  1471662  4407601  7476717  7082197  7476717  5122535  6114306   6045455   8548124  4889281  4934216  8548124  9795896
             128      32  1521718  4596273  9795896  6727225  8548124  3445772  7176872   6812590   9795896  5847904  6114306  9129573  7476717
             128      64  1802755  5325799  9129573 12842051 11470204  7176872  9795896   8036304  11470204  4889281 10567140 10567140 14200794
             128     128  1543594  5847904  8548124 15881078 16365173  8036304 10779307   8036304  11720614  7476717  6727225 10567140 14200794
             256       4  1334162  4132864  6891544  7314033  5810112  3935921  3994490   5022044   6107548  4755158  3207059  6554972  7518900
             256       8  1718521  4819184  8815202  8024634  8271916  5217259  5428265   6595234   7518900  4070199  5022044  9114515  9868433
             256      16  1842366  5022044  8534922  7314033  9114515  4755158  6891544   7314033   9868433  5217259  5022044  7735574  8271916
             256      32  1829808  4404088 10245071  7791708 10651598  6554972  9114515   8024634  11207494  6249745  6107548 10245071 12090911
             256      64  1707589  5217259  8271916  8815202 11091721  6719046  8271916   8271916  11207494  6554972  5569035  9518507 11569783
             256     128  1839210  5217259  8888172  9518507 11569783  6936061  9434868   6249745  11569783  4840911  9868433 11695808 12812277
             256     256  1683493  3879045  8024634 12812277 12812277  6891544  9434868   7120034  11091721  6936061  6107548 11207494 13454450
             512       4  1497750  3459188  6571132  6909408  5684095  3913012  4195896   4973263   5278892  3913012  3905895  6319739  6228097
             512       8  1695195  4532414  8265729  7513788  8109658  4784885  5886650   6491676   6909408  4838792  4485083  8394979  9468384
             512      16  1862832  3684733  8140399  6909408  9145790  5760329  6821616   7091952   8394979  5115422  5227492  8665997  9681823
             512      32  1753325  5822804 10911694  7647578 10641343  6472112  8844453   8018812  11434603  5822804  5684095 10235583 10694336
