	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 18:00:52 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   405610  1484662  1124074  2444640  1879725  1310683  1336792   1780008   2133730  1526887  1518251  2358717  2662899
              64       8   520419  1484662  3203069  2298136  2133730  1933893  2278628   2467108   3203069  1933893  2067979  2923952  3958892
              64      16   503814  2133730  3541098  2772930  3541098  2203800  2561267   2561267   3541098   987600  2444640  3791156  4564786
              64      32   496362  3203069  6421025  4988978  7100397  4018152  4897948   4564786   7293312  3541098  5735102  6421025  9006179
              64      64   703068  3541098  4564786  9318832  9006179  4274062  4564786   4018152   7100397  4274062  4274062  7100397  7100397
             128       4   859260  1802755  4759253  5122535  3759450  2608629  2784517   3199360   3560017  2784517  2211113  4012317  4135958
             128       8  1082825  4267461  7917784  7176872  7582312  4889281  5545860   6114306   8036304  4934216  2843510  8036304  9129573
             128      16  1622919  4934216  9129573  7582312  9129573  5847904  7082197   6812590   9129573  5545860  5545860  9129573 10779307
             128      32  1424795  4267461  9129573  7176872  9795896  3199360  8036304   7082197  10567140  6330599  6727225  8548124 10567140
             128      64  1663139  4934216  6114306  9129573 10567140  6406138  7582312   7082197   9795896  4104338  3657016  9129573 10567140
             128     128  1642783  5603747  8548124 16365173 15881078  7917784  9795896   8036304  14200794  7476717  5784891 10779307 15881078
             256       4  1347557  4197489  7120034  7314033  5569035  4009406  4264168   5022044   5320671  4132864  3557725  6398720  7073132
             256       8  1696795  4572895  8534922  7735574  7965107  5242734  5810112   5810112   5971678  3454704  4840911  9114515 11207494
             256      16  1817419  5428265 10245071  8534922 10651598  3994490  7965107   7965107   9434868  5569035  4652146  8815202 10651598
             256      32  1740810  4132864 10148242  6891544 10758322  5971678  9114515   8024634  11091721  6249745  6249745 11091721 12228612
             256      64  1673001  5320671  9192546  8888172 11695808  6719046  9518507   7965107   9518507  5810112  5971678 11091721 12812277
             256     128  1855098  5347168  9434868  9868433 12228612  7073132 10245071   5687020  11695808  4117018 10245071 11207494 13454450
             256     256  1430119  3935921  8024634 12812277 12228612  7073132 10651598   7314033  10651598  7120034  5938650 10651598 12812277
             512       4  1450212  3415178  6156675  7115451  5509113  3970896  4091959   4927617   5227492  3905895  3815675  5278892  6035551
             512       8   596721  1821745  3158966  2560168  2830083  1619757  2235086   2327124   2782414  1753325  1662389  3086326  3304808
             512      16   686358  1815584  5624545  4580754  5566231  3580298  4340054   4571003   5331314  3284589  3415178  5951911  6035551
             512      32  1164070  3653390  6319739  4784885  6472112  3653390  4571003   5019764   6931711  3604335  3437042  8992598 10856530
             512      64  1924603  4163357  8528336  7871843 11374040  6736026  9510316   8265729  12215097  5951911  6571132 10911694 11374040
             512     128  1867692  5684095  9859630  9145790 11434603  5566231  9145790   8992598  11080601  7211022  6843354 10641343 12146009
             512     256  1938502  4532414  9638369  8992598 13109944  5951911  7988981   7540170   4494470  1734911  8955098 10434519 12797441
             512     512  1701913  4340054  7334159 11620224 11374040  6736026 10235583   6319739  10235583  6395018  5886650  7871843 10485468
            1024       4  1402756  3751699  6025439  6393168  5564829  3866533  4379019   4700088   5390231  3984917  3908759  6519323  6744549
            1024       8  1796451  4715569  8542002  7101400  7699755  4470172  5690162   6479979   7537599  4654248  4415030  6776473  8000971
            1024      16  1885572  4550690  8610501  6830356  8750850  5444898  8000971   6599461   8680108  5144870  5071963  9300377  9300377
            1024      32  2129589  5751117 10230845  7113161  9946527  5950309  8391792   7941793   9855234  5564829  4920874  8680108  9743447
            1024      64  1947119  4741598  8542002  6609617  9320560  5251818 10039528   7472033  10906310  5652717  5251818 10769573 11132462
            1024     128  1857840  5303701 10990032  8000971 12037272  7054742  9569770   7869040  12071103  6093831  6963241 10662628 11249091
            1024     256  1786736  4146499  6569179  6317933  8391792  4805258  7160597   6692005   9064828  4762630  5120336  8680108  8822754
            1024     512  1426517  4215688  6016997  7160597  7113161  4451639  6692005   4832290   8768716  2672984  9855234 10796646 10230845
            1024    1024  1416636  4674510  6244448  9220512  9569770  5751117  8525047   5789881   9220512  5789881  5720477  8542002  9402175
            2048       4  1380173  3885431  6397004  6420913  5290001  4102546  4180412   4621211   5306340  4170264  3901313  6340344  6280083
            2048       8  1841829  4623699  8531869  6895083  7503399  4611288  6058611   6738230   7556202  4676561  4591569  8159088  8221561
            2048      16  1878893  5147354  8903279  5303064  6225466  3784436  5430461   5044577   6382745  3784436  3779440  6711905  6171791
            2048      32  1398828  4031308  7311791  4707314  6851089  4365235  6670210   5937172   6786139  4096676  4063729  6717153  7444871
