	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:53:01 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1210227  1679761  3541098  1518251  4897948  3791156  3541098   5389653   4897948  3057153  2923952  4274062  4988978
              64       8  1336792  2561267  4564786  4897948  5860307  3791156  3738358   4564786   5860307  3588436  3541098  5860307  7100397
              64      16   404998  1892980  3203069  2379626  3203069  1991276  2133730   2278628   2133730  1892980  2298136  3203069  3738358
              64      32   537079  2467108  4274062  3165299  4897948  1357066  3363612   3022727   4564786  2358717  4018152  4564786  5283570
              64      64   666414  2561267  3165299  5283570  4897948  2801873  3406295   2892445   4564786  2892445  2801873  4564786  5860307
             128       4   633247  1778862  2843510  2985839  2453642  1684006  1684006   2166499   2248149  1363288  1705404  4135958  4934216
             128       8  1093856  3106789  6114306  4407601  5122535  3560017  4012317   4407601   5847904  3445772  3445772  6045455  6727225
             128      16  1152564  2420455  6114306  4934216  6406138  3982553  4934216   4596273   6406138  3895854  3867787  3560017  3867787
             128      32  1217930  4012317  7082197  5122535  7582312  4135958  5847904   5122535  10567140  4267461  7176872 10779307 12842051
             128      64  1802755  5545860  9129573 11470204 12842051  7176872  9129573   7582312  11720614  3359523  9795896  4267461 11470204
             128     128  1557024  3895854  7917784 14586625 12842051  7176872  9795896   7176872  11720614  7176872  6812590 10567140 14200794
             256       4  1471270  2607399  6249745  5217259  5569035  3667079  2911402   5022044   5217259  4281170  3236056  6554972  7314033
             256       8  1514860  3823789  6107548  5810112  5971678  3756894  4332998   4652146   5569035  3654598  3378611  4264168  5687020
             256      16  1740810  3770085  6554972  5117791  9434868  5455847  7518900   5971678   9434868  4652146  5971678  9778562 10651598
             256      32  1778290  4009406  7314033  5971678  7965107  3557725  7120034   5687020   8271916  4652146  4755158  7120034  7791708
             256      64  1267990  3605511  8024634  9778562 11207494  7518900  8815202   7518900  10651598  6936061  7735574  8271916 13454450
             256     128  1740810  5687020  9868433  9518507 11569783  6936061  9518507   8024634  11207494  4132864 10245071 10245071 12812277
             256     256  1600674  5687020  8271916 13454450 12812277  5117791 10245071   7314033  11091721  6936061  6891544 11091721 12228612
             512       4  1417662  4068701  5951911  7115451  5624545  3736016  4030519   5115422   4237291  4000485  3659616  5760329  6228097
             512       8  1747618  4030519  7620440  6472112  7620440  4973263  5509113   6571132   6736026  4571003  4620174  8234036  9145790
             512      16  1764853  5164632  8109658  6736026  8665997  5278892  6571132   6999490   7988981  5439343  4973263  8140399  8665997
             512      32  1917728  4571003  9344779  7540170 10434519  6319739  8362289   6843354  10856530  5115422  5624545 10235583 11374040
             512      64  1897396  6174377  8234036  7647578 11138071  6228097  8394979   8362289  11683444  6086873  6395018 10434519 11943357
             512     128  1889050  6086873  9681823  8665997 11943357  6395018 10284602   8234036  12499490  6821616  7309196 10694336 12215097
