	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:57:30 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   407457   647135  1285575  2662899  1392258  1279447  1049372   1722886   1421755   969761   889431  1452528  1690338
              64       8   335206  1183548  1947927  1879725  1828508  1204796  1429325   1460430   1879725  1226821  1255511  3791156  4274062
              64      16   710511  2467108  3958892  3541098  4564786  2561267  3363612   2923952   4564786  2537060  2772930  4274062  5283570
              64      32   852702  2561267  4274062  5283570  7100397  1518251  3541098   3363612   4897948  2923952  4018152  4564786  5735102
              64      64  1033216  3203069  4897948  9318832  9318832  4564786  5860307   4564786   7940539  4564786  4564786  7100397  9318832
             128       4  1455701  3785961  7476717  8548124  6045455  4012317  3982553   4934216   5325799  3036502  2905056  6330599  6727225
             128       8  1622919  4889281  8548124  7476717  8036304  5122535  5325799   6406138   8548124  4759253  5122535  6330599  6727225
             128      16  1487977  3759450  9129573  7082197  8548124  5545860  7082197   7082197   9129573  5603747  5847904  9795896 11720614
             128      32  1727352  6114306 10779307  9129573 12842051  7082197  9795896   8548124  12842051  2326073  7582312  9977956  9129573
             128      64  1637771  5122535  9795896 14200794 12842051  7476717  9129573   8036304  12842051  4934216  9977956  8036304  9129573
             128     128  1319723  4135958  8036304 14586625 12542043  7082197 10779307   7082197  12842051  7082197  7082197 10779307 14200794
             256       4  1453348  3465855  4652146  7120034  5687020  3994490  4652146   5569035   6107548  4652146  3935921  5971678  7073132
