	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 17:53:59 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4   614542   901377  1991276  3363612  2561267  1828508  1679761   2278628   2662899  1933893  2006158  2923952  3541098
              64       8   653436  2133730  3541098  3738358  3541098  2379626  2689580   2892445   3791156  2467108  2467108  4018152  4564786
              64      16   718114  1947927  3791156  3165299  4274062  2662899  2892445   3203069   4274062  2561267  3057153  3057153  4897948
              64      32   659861  3022727  7100397  5389653  7940539  1562436  5860307   5860307   8182586  4207076  8182586  7100397 10821524
              64      64  1105556  4018152  5860307 10402178  9318832  4897948  5283570   4564786   7100397  5283570  4988978  8182586 10821524
             128       4  1123617  1346196  2511022  2784517  2027414   927549  1421023   1391557   1278855   748976  1451764  2367096  2608629
             128       8   592699  1303699  2027414  1939522  1858934  1281909  1967960   2248149   2969325  1802755  1802755  2464907  3277486
             128      16   630273  1266785  3445772  2985839  3277486  2098744  2608629   2464907   3359523  2098744  2066432  2969325  3277486
             128      32  1093856  3468030  6727225  4934216  6406138  3895854  5325799   4557257   6727225  2453642  4407601  6406138  7582312
             128      64  1093856  3445772  5325799  7082197  7082197  4135958  5603747   4557257   6727225  3053774  6406138  6727225  8036304
             128     128  1085013  1827299  4596273  7582312  7582312  4267461  5603747   4267461   6406138  4012317  4012317  5784891  8036304
             256       4  1231629  2726577  5569035  5810112  5022044  3605511  3511189   4572895   4755158  3823789  3667079  5810112  6398720
             256       8  1339154  4070199  7518900  6213578  7120034  4572895  5217259   5810112   6437081  4404088  3667079  7518900  8815202
             256      16  1463250  4819184  8534922  6398720  8534922  5938650  6554972   7073132   9868433  3994490  5320671  9192546 10245071
             256      32  1540948  4998665  8271916  6073004  9868433  4572895  6936061   7791708  11091721  5810112  6213578  8888172  9778562
             256      64  1802167  3810220  8534922  7518900 11091721  6891544  9114515   8024634  12228612  6554972  6936061  6719046  9778562
             256     128  1662639  4734192  8534922 10651598 12661199  7120034  2582316   2754556   8534922  4054829  9868433  7518900 10651598
             256     256  1718521  5242734  7735574 12812277 12228612  4929815  9868433   6936061   6554972  3368013  3770085  6437081  7120034
             512       4  1230786  3304808  5453155  5744919  4701087  3163620  3415178   4271001   4411377  3510074  3012719  5019764  5398323
             512       8  1759070  3710197  6999490  6319739  7435738  4973263  5227492   6491676   6395018  4532414  4457157  7988981  9344779
             512      16  1712772  4973263  8140399  6999490  8394979  5127637  6319739   7091952   7647578  4411377  4571003  7758090  8844453
             512      32  1882427  4195896  7988981  6909408 10044089  6246213  7309196   8140399  11138071  5177083  5439343  8844453 10911694
             512      64   643960  2253852  3659616  2942541  4030519  2014892  2860238   2360376   3659616  2304647  2205248  3710197  4068701
             512     128   660600  3877684  6319739  5566231  7410080  3970896  6736026   5331314   7871843  3628697  4571003  7115451  7309196
             512     256  1293037  3196584  5624545  6156675  7647578  4411377  6757222   4973263   7309196  3122224  9304292  7309196 10485468
             512     512  1589779  5127637  6999490 11434603  8528336  5807059  8808176   6571132  10044089  5807059  6086873  8955098 11080601
            1024       4  1460969  3791442  6364746  6733974  5472650  3835457  3966517   5089995   5277632  3877004  3791442  5917516  5564829
            1024       8  1828574  4374559  6819511  6441107  7590887  4848656  5444898   6559147   7257394  4720752  4488860  6650556  7883484
            1024      16  1920993  4715569  8822754  6830356  8246774  5417427  7208671   7160597   8525047  5144870  5018624  8970167  9485232
            1024      32  1973059  5018624  9220512  7160597  9946527  5917516  8122014   7941793   9765601  5507740  5479632 10557785  7590887
            1024      64  1957770  5277632  9655828  7472033 10769573  6280976  8457895   8061038  11773301  5782087  5917516  9743447 10662628
            1024     128  1893052  5417427  9569770  7699755 10769573  6402699  9655828   7644933  11645609  5885083  6317933 10230845 11249091
            1024     256  1949771  5383475  9142007  8137402 11132462  6441107  9855234   8326715  11278631  6016997  6692005 10329265 11132462
            1024     512  1910737  5169641  7941793  8474583 10557785  6172653  9320560   7306780   9855234  4215688  7927135  9240349 10039528
            1024    1024  1777125  4741598  6519323  7826025  9464330  5720477  8391792   5782087   8914314  5682634  5536137  8525047  8988941
            2048       4  1565562  3637020  6127764  6440169  5044577  3730203  4071433   5071381   5447681  3885431  3848872  6243566  6298503
            2048       8  1816896  4423683  7874853  6563185  7286980  4717655  5670651   6649556   7444871  4633675  4462754  7754008  7451329
            2048      16  1885905  4601407  8464610  6523312  8398403  5293261  6690992   7311791   8325147  5044577  4889518  8531869  8678404
            2048      32  1905146  4957240  9140117  6917293  9525260  5800851  8749118   7903836   9697312  5461535  5332694  9621281  9887060
            2048      64  1944829  4772701  9841749  7451329 10503637  6149699  9024882   8498106  10452512  5644567  5723548 10503637  9853037
            2048     128  1995892  5172149 10401883  7698414 10834854  6359119 10192069   8292998  12327589  5852228  5852228 10780463 10959265
            2048     256  1974785  5332694  9898453  7817519 10959265  6420913 10766950   8784909  11835033  5769681  6075753 10945301 11305435
            2048     512  1976603  5059433  8758039  7670915 10037248  6058611  9898453   7643611  11564174  6243566  6873016 10945301 11246230
            2048    1024  1963500  4562305  7444871  7503399  9218589  5655716  8940345   6759439   9024882  4096676  6780783  8903279  8912516
            2048    2048  1820362  4367454  6397004  9015410  9140117  5582208  8565901   5659442   8531869  5704543  5582208  8600205  8793903
            4096       4  1552658  3634562  6430059  6649056  5396016  3831537  4141917   5001700   5375755  3942321  3915366  6401308  6216019
            4096       8  1790351  4399673  8409937  6659365  6916752  4735608  6379914   6703539   7111444  4556020  4389555  8193352  8224733
            4096      16  2005867  4231697  6140479  5918366  8209013  5353976  7185807   7237268   8409937  4969868  4941279  8847367  8981502
            4096      32  1907643  5120972  9419791  7038605  9524234  5833956  9287391   8002526   9729195  5347310  5347310  9503161 10190895
            4096      64  1942148  5389246 10112910  7421732 10263956  6178018  9966244   9000323  10400659  5810280  5618365 10313249 10425907
            4096     128  1925820  5512011  9966244  7555557 10580003  6330545  9914481   8770583  10950922  5674032  5689064 10923071 10698597
            4096     256  1985468  5603704 10502389  7314299 10779149  6408472 10752164   8642630  12718238  5603704  5565581 10867793 11099499
            4096     512  1971116  5252488  9267351  7249484  9779037  5971855  9332798   7816828  10606129  4995882  5520868  9773474  9566663
            4096    1024  1926684  4649735  7802627  6872481  8586475  5580043  8806550   6430059   9086004  5178081  5611025  8842813  8660056
            4096    2048  1907643  5081590  7050159  7380284  8865630  5535098  8603675   5978090   9440496  3857345  7380284  8770583  9312562
            4096    4096  1865996  4389555  6401308  8712759  8531046  5445618  8360824   5461198   8552280  5618365  5504946  8480511  8642630
            8192       4  1608842  3566209  5901904  5974769  5076189  3607016  4126896   5231540   5132298  3873350  3683582  5614514  5653313
            8192       8   744590  3794641  7006749  6136976  6511465  4481039  5516264   6370221   6395120  4352746  4395061  7884642  8007759
            8192      16  1818379  4435342  7839667  6286308  7634130  5019093  6512699   7099404   7243074  4633311  4638941  7802283  8275854
            8192      32  1852596  5094251  8360428  6532510  8781355  5607184  8079310   7861190   8577485  5075439  5343822  9256879  9568810
            8192      64  1889267  5638469  8892719  6737460  9014031  5953031  9194949   9234488   9695717  5579867  5454094  9236971  9649428
            8192     128  1918487  4911476  8358395  6420214  9393538  6094523  9603578   9266865  10863689  5553712  5429103  9845745  9919649
            8192     256  1912613  5301769  8797093  6814966  9617018  6059057  9775714   8772387   9753515  5016894  4976927  8974009  9468607
            8192     512  1798863  4902367  8039611  6409435  8705708  5681356  9042498   7663074  10805609  4824582  4995015  8455064  8705708
            8192    1024  1877190  4336814  6848927  5712526  7706040  5129999  8175428   7008178   9185117  4673010  4754484  7550253  7735533
            8192    2048  1924397  4311239  5888754  5428245  6753351  4922735  6919267   6220301   8317926  4581417  5053790  6919267  7068733
            8192    4096  1760881  4275297  5834754  6205696  7461712  5264403  7373641   5772993   7800511  3742154  6001904  6692839  6537482
            8192    8192  1763230  4106673  4421075  6233844  6234975  4231596  5692651   4302601   6001904  3875097  4538452  6440672  6638529
           16384       4  1484709  3432746  5171619  5188017  4270198  3198664  3658637   5221128   4465259  3557865  3627160  5193114  5313989
           16384       8  1693440  4008648  6173255  5285379  5340004  3891513  4906849   6438141   5384355  3841694  3814822  6129753  6201667
           16384      16  1798854  4303626  6852892  5520609  6363028  4447342  5958092   7198918   6535496  4280039  4263310  7010184  7104399
           16384      32  1821454  4780882  7285157  5683144  6872768  4636064  6533011   7802110   6747917  4303626  4453395  7278984  7331011
           16384      64  1838411  4868954  7397299  5730536  7167383  4786543  6863844   8572996   7136122  4537195  4574039  7556734  7491652
           16384     128  1826537  4789212  7344330  5639767  7406867  4886612  7373488   8794623   7662908  4632313  4754420  7968578  8102942
           16384     256  1845670  2170079  6522470  4929022  7627187  5096067  3546298   7043957   6662863  3934515  4709456  8191806  8063011
           16384     512  1859101  4828584  7147999  5616719  7677462  5090027  7129459   7988030   7420464  4167897  4366522  7317740  7484309
           16384    1024  1856991  4399509  6353028  5278477  6644181  4588087  6840613   6714948   9346021  4020609  4183883  6540472  6801345
           16384    2048  1854035  4135291  5801655  5100606  6296564  4628258  6654475   6559201   9319404  3976866  4261195  6220192  6486147
           16384    4096  1820682  4465549  5706741  5452279  6553571  4568869  6583078   5789435   8262724  4171945  4537195  5958092  6253589
           16384    8192  1730672  4317145  5152232  5488861  6417699  4314976  5728625   4796231   6916346  3510608  4980103  5181367  5694446
           16384   16384  1578277  3585150  3757050  4757383  5154164  3544834  5063026   3923283   5407233  3883376  3859602  5085131  5209254
           32768      64  1755403  4507997  7069612  5559422  6802626  4344686  6866864   8473526   7024087  4215685  4329903  7416782  7376577
           32768     128  1855382  4727731  7302889  5697942  7283538  4806094  7294749   8759203   7450555  4353493  4296335  7527681  7437251
           32768     256  1815195  4679759  7319223  5785245  7428809  4845916  7690266   9391880   7754045  4297410  4400749  7721373  7798483
           32768     512  1817619  2704330  6613108  5358702  6688741  4528495  6738258   7928496   6484864  3765986  4029072  6784158  6874076
           32768    1024  1818629  4252863  6186260  5053681  6148071  4211809  6200214   6647975   6092744  3621502  3786425  6215636  6291607
           32768    2048  1800923  4163705  6065854  4995998  6101941  4002904  6025697   6573571   9168216  3514810  3699288  5770913  6130520
           32768    4096  1709869  3609613  5592904  4335503  5916746  4066505  6114429   6053564   8620750  3570324  3742401  5900742  6407468
           32768    8192  1771741  4044367  5444031  5049782  6149997  4165219  5976176   4844550   7051476  3690943  3493369  5479409  6100858
           32768   16384  1741236  3832139  4541663  4786344  5202905  3630399  4949222   3976728   5171776  3172731  4392451  4801896  5001998
           65536      64  1531713  4584216  7461640  5766531  7028722  4515314  7162418   8563493   7122701  4040729  4143671  7518170  7440432
           65536     128  1809588  4702320  7540858  5790340  7302075  4599712  7257539   8780413   7365272  4380188  4359487  4316427  6840174
           65536     256  1572745  4673538  7531147  5859711  7448295  4444065  7612489   9390534   7548313  4194316  4220721  7631934  7489084
           65536     512  1808992  4363501  6583144  5146195  6483610  4357690  6815243   7995330   6860318  3839248  3852808  6794019  6738887
           65536    1024  1820289  4239077  6244414  3250000  6105981  4160227  6179141   6695552   6000940  3620348  3548239  6172758  6197950
           65536    2048  1776812  4207477  6107745  5027321  6283525  4142609  6333328   6970438   6218984  3599300  3599489  6248672  6302832
           65536    4096  1804752  4139989  6092448  4983391  6107202  4107817  6205506   6250377   8809679  3536007  3321955  5926544  6232662
           65536    8192  1746922  4008555  5562888  4940843  5905281  4029533  5734650   5361713   7396785  3429423  2931192  5491099  6082203
