	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 18:03:56 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1087638  3541098  4274062  8182586  5860307  4274062  3958892   5283570   6421025  4274062  4274062  7100397  7940539
              64       8  1363961  3203069  5283570  5860307  5860307  3541098  4274062   4564786   6421025  3363612  4018152  6421025  7100397
              64      16   889431  2923952  5389653  4897948  7100397  3958892  4897948   4897948   7293312  4018152  4897948  6421025  9318832
              64      32   942521  4018152 10821524  7100397 12902017  5735102  6421025   7100397   7100397  4897948 10821524  9006179 12902017
              64      64  1357066  4564786  7100397 12902017 12902017  7100397  7100397   7100397  12310336  7100397  1879725  9006179  8182586
             128       4  1440082  3657016  6406138  7917784  5784891  2464907  4104338   5325799   5379161  4407601  3895854  5784891  7082197
             128       8  1471662  4267461  7476717  7582312  8414153  5122535  5545860   6727225   9129573  4889281  4934216  8548124  9795896
             128      16  1278855  5325799  9795896  5603747  8548124  4012317  6114306   7176872   9977956  5325799  5847904  9129573 10567140
             128      32  1543594  1598754  3297617  2608629  3657016  1561553  3053774   2660335   3867787  1997245  2558895  3895854  4267461
             128      64   549056  2132084  3199360  3895854  4104338  2420455  3380677   2727923   4012317  1858934  3759450  3982553  4407601
             128     128   809997  3297617  4012317  6406138  6045455  3445772  5122535   3536566   5847904  3560017  3359523  5122535  6406138
             256       4   703260  2118645  3465855  3123106  2665657  2015259  2131261   2152625   2665657  2097948  1790149  3043436  3368013
             256       8  1235882  3654598  5569035  3879045  4734192  3557725  3756894   4734192   5022044  2911402  3159869  5242734  6213578
             256      16  1267990  3717869  5687020  4929815  6398720  3326279  4672389   5022044   6719046  3810220  3935921  6249745  6761355
             256      32  1334162  4070199  8271916  5938650  9434868  5428265  7518900   6936061   9518507  5217259  5217259  8534922  9778562
             256      64  1523457  5428265  8024634  6936061  9518507  5971678  8271916   7120034  10148242  5810112  4819184  8815202 10245071
             256     128  1649865  5687020  8024634  9518507  9868433  5810112  3935921   2228578   4197489  1718521  9518507  9868433 11569783
             256     256  1347557  4332998  7120034 11569783 11695808  6213578  9434868   6249745  10758322  6249745  4907284 10148242 11695808
             512       4  1293037  3556580  6018636  6571132  5164632  3604335  3762197   3877684   4580754  3527371  3905895  6319739  6931711
             512       8  1712772  4457157  7988981  6931711  7871843  4660280  5951911   6652558   5760329  4784885  4262523  7647578  8265729
             512      16  1854787  4871723  8265729  6821616  9145790  5822804  6472112   7309196   8562340  5214798  5067142  8528336  9681823
